experiment,algo,pattern,bp_ready,bp_hotspot,fifo,cycles,avg_lat,min_lat,max_lat,timestamp
Exp2,Custom,UNIFORM_RANDOM,70,10,8,2173,31,4,69,01:31:14
Exp2,XY,UNIFORM_RANDOM,70,10,8,2447,37,5,82,01:31:37
Exp2,Odd-Even,UNIFORM_RANDOM,70,10,8,2447,37,5,82,01:32:00
Exp2,Custom,HOTSPOT,70,10,8,3739,47,4,179,01:32:22
Exp2,XY,HOTSPOT,70,10,8,3942,48,5,138,01:32:45
Exp2,Odd-Even,HOTSPOT,70,10,8,3942,48,5,138,01:33:08
Exp2,Custom,BIT_COMPLEMENT,70,10,8,1489,34,6,53,01:33:30
Exp2,XY,BIT_COMPLEMENT,70,10,8,2154,53,6,101,01:33:53
Exp2,Odd-Even,BIT_COMPLEMENT,70,10,8,2154,53,6,101,01:34:17
Exp2,Custom,TORNADO,70,10,8,2148,35,6,58,01:34:40
Exp2,XY,TORNADO,70,10,8,2148,35,6,58,01:35:03
Exp2,Odd-Even,TORNADO,70,10,8,2148,35,6,58,01:35:25
Exp2,Custom,MATRIX_TRANSPOSE,70,10,8,2886,47,4,97,01:35:47
Exp2,XY,MATRIX_TRANSPOSE,70,10,8,3888,59,4,165,01:36:10
Exp2,Odd-Even,MATRIX_TRANSPOSE,70,10,8,3888,59,4,165,01:36:33
Exp2,Custom,NEIGHBOR_BURST,70,10,8,1673,33,4,73,01:36:55
Exp2,XY,NEIGHBOR_BURST,70,10,8,1808,32,4,78,01:37:17
Exp2,Odd-Even,NEIGHBOR_BURST,70,10,8,1808,32,4,78,01:37:39
Exp3,Custom,HOTSPOT,70,10,8,3739,47,4,179,01:38:02
Exp3,XY,HOTSPOT,70,10,8,3942,48,5,138,01:38:25
Exp3,Odd-Even,HOTSPOT,70,10,8,3942,48,5,138,01:38:48
Exp3,Custom,HOTSPOT,70,30,8,NA,NA,NA,NA,01:39:11
Exp3,XY,HOTSPOT,70,30,8,NA,NA,NA,NA,01:39:34
Exp3,Odd-Even,HOTSPOT,70,30,8,NA,NA,NA,NA,01:39:57
Exp3,Custom,HOTSPOT,70,50,8,NA,NA,NA,NA,01:40:20
Exp3,XY,HOTSPOT,70,50,8,NA,NA,NA,NA,01:40:42
Exp3,Odd-Even,HOTSPOT,70,50,8,NA,NA,NA,NA,01:41:05
Exp3,Custom,HOTSPOT,70,70,8,NA,NA,NA,NA,01:41:27
Exp3,XY,HOTSPOT,70,70,8,NA,NA,NA,NA,01:41:49
Exp3,Odd-Even,HOTSPOT,70,70,8,NA,NA,NA,NA,01:42:12
Exp3,Custom,HOTSPOT,70,90,8,NA,NA,NA,NA,01:42:34
Exp3,XY,HOTSPOT,70,90,8,NA,NA,NA,NA,01:42:56
Exp3,Odd-Even,HOTSPOT,70,90,8,NA,NA,NA,NA,01:43:18
Exp4,Custom,UNIFORM_RANDOM,30,10,8,4751,76,5,214,01:43:41
Exp4,XY,UNIFORM_RANDOM,30,10,8,4759,81,5,207,01:44:05
Exp4,Odd-Even,UNIFORM_RANDOM,30,10,8,4759,81,5,207,01:44:28
Exp4,Custom,UNIFORM_RANDOM,50,10,8,2979,48,5,122,01:44:51
Exp4,XY,UNIFORM_RANDOM,50,10,8,3003,50,5,113,01:45:14
Exp4,Odd-Even,UNIFORM_RANDOM,50,10,8,3003,50,5,113,01:45:37
Exp4,Custom,UNIFORM_RANDOM,70,10,8,2173,31,4,69,01:45:59
Exp4,XY,UNIFORM_RANDOM,70,10,8,2447,37,5,82,01:46:22
Exp4,Odd-Even,UNIFORM_RANDOM,70,10,8,2447,37,5,82,01:46:44
Exp4,Custom,UNIFORM_RANDOM,90,10,8,1912,23,4,66,01:47:06
Exp4,XY,UNIFORM_RANDOM,90,10,8,2212,31,4,62,01:47:28
Exp4,Odd-Even,UNIFORM_RANDOM,90,10,8,2212,31,4,62,01:47:50
